1.173 1.437
1.246 1.437
1.298 1.437
1.512 1.437
1.608 1.437
1.709 1.437
1.816 1.437
2.160 1.437
2.296 1.437
2.440 1.437
2.581 1.437
3.084 1.437
3.278 1.436
3.484 1.435
3.685 1.435
4.403 1.434
4.680 1.434
4.975 1.433
5.261 1.433
6.286 1.431
6.682 1.430
7.102 1.429
7.473 1.429
8.975 1.426
9.540 1.425
10.140 1.424
10.669 1.423
12.682 1.419
13.481 1.418
14.329 1.417
15.153 1.416
18.104 1.410
19.242 1.408
20.453 1.407
21.520 1.405
25.842 1.400
27.467 1.398
29.194 1.396
31.031 1.395
50.526 1.367
53.700 1.363
57.073 1.359
60.046 1.356
71.353 1.343
75.833 1.338
80.593 1.333
84.358 1.329
97.716 1.313
103.844 1.307
110.353 1.299
115.506 1.295
133.758 1.272
142.137 1.264
151.029 1.253
173.989 1.227
184.880 1.218
196.431 1.205
226.270 1.176
240.416 1.165
255.438 1.153
294.203 1.121
311.005 1.109
327.104 1.098
374.838 1.066
396.227 1.053
414.644 1.043
472.720 1.010
499.695 0.997
525.558 0.986
596.153 0.954
630.182 0.941
662.787 0.929
755.653 0.898
794.750 0.886
835.856 0.873
957.809 0.841
1017.607 0.828
1070.296 0.817
1208.012 0.787
1276.987 0.775
1349.915 0.763
1554.863 0.733
1652.049 0.721
1746.390 0.709
2001.414 0.680
2126.650 0.670
2259.706 0.659
2629.624 0.631
2794.082 0.620
2969.091 0.612
3455.610 0.587
3672.004 0.578
3902.001 0.570
4042.897 0.565
4635.034 0.546
4925.723 0.540
5234.535 0.533
5451.180 0.528
6282.584 0.514
6676.967 0.509
7096.058 0.504
7465.394 0.500
8782.023 0.488
9333.754 0.485
9950.292 0.481
10437.223 0.479
12404.218 0.469
13184.145 0.467
14012.920 0.464
14668.741 0.462
17346.795 0.455
18438.125 0.454
19598.247 0.453
20619.995 0.451
24511.326 0.447
26053.036 0.445
27692.477 0.444
29285.468 0.442
34286.325 0.439
36444.362 0.439
38737.166 0.437
41174.500 0.436
49450.928 0.435
52563.090 0.434
55873.029 0.434
58789.377 0.433
69185.955 0.433
73540.631 0.432
78171.543 0.432
82672.505 0.432
42.489 1.380
39.812 1.383
